"","from_account","to_account","from_party","to_party"
"262","kirstenkappert","agnieszka_mdb","DIE GRÜNEN","DIE GRÜNEN"
"263","kirstenkappert","filizgreen","DIE GRÜNEN","DIE GRÜNEN"
"264","kirstenkappert","badulrichmartha","DIE GRÜNEN","DIE GRÜNEN"
"265","kirstenkappert","lisapaus","DIE GRÜNEN","DIE GRÜNEN"
"266","kirstenkappert","julia_verlinden","DIE GRÜNEN","DIE GRÜNEN"
"267","kirstenkappert","crueffer","DIE GRÜNEN","DIE GRÜNEN"
"268","kirstenkappert","annachristmann","DIE GRÜNEN","DIE GRÜNEN"
"269","jenszimmermann1","jimmyschulz","SPD","FDP"
"270","jenszimmermann1","stadler_svenja","SPD","SPD"
"271","jenszimmermann1","nouripour","SPD","DIE GRÜNEN"
"272","jenszimmermann1","katarinabarley","SPD","SPD"
"273","jenszimmermann1","larscastellucci","SPD","SPD"
"274","jenszimmermann1","sebast_hartmann","SPD","SPD"
"275","jenszimmermann1","katdro","SPD","DIE GRÜNEN"
"276","jenszimmermann1","hubertus_heil","SPD","SPD"
"277","jenszimmermann1","meister_schafft","SPD","CDU"
"278","jenszimmermann1","kahrs","SPD","SPD"
"279","jenszimmermann1","soerenbartol","SPD","SPD"
"280","jenszimmermann1","dieschmidt","SPD","SPD"
"281","jenszimmermann1","oezoguz","SPD","SPD"
"282","jenszimmermann1","schneidercar","SPD","SPD"
"283","jenszimmermann1","sigmargabriel","SPD","SPD"
"284","jenszimmermann1","peteraltmaier","SPD","CDU"
"285","jenszimmermann1","larsklingbeil","SPD","SPD"
"286","yvonnemagwas","katrin_staffler","CDU","CSU"
"287","yvonnemagwas","meister_schafft","CDU","CDU"
"288","yvonnemagwas","sigmargabriel","CDU","SPD"
"289","yvonnemagwas","anjaweisgerber","CDU","CSU"
"290","yvonnemagwas","kaiwegner","CDU","CDU"
"291","yvonnemagwas","thomasgebhart","CDU","CDU"
"292","yvonnemagwas","juergenhardt","CDU","CDU"
"293","yvonnemagwas","rbrinkhaus","CDU","CDU"
"294","yvonnemagwas","smuellermdb","CDU","CSU"
"295","yvonnemagwas","hahnflo","CDU","CSU"
"296","yvonnemagwas","tj_tweets","CDU","CDU"
"297","yvonnemagwas","petertauber","CDU","CDU"
"298","yvonnemagwas","groehe","CDU","CDU"
"299","yvonnemagwas","peteraltmaier","CDU","CDU"
"300","yvonnemagwas","wanderwitz","CDU","CDU"
"301","diether_dehm","anked","DIE LINKE","DIE LINKE"
"302","diether_dehm","pascalmeiser","DIE LINKE","DIE LINKE"
"303","diether_dehm","lgbeutin","DIE LINKE","DIE LINKE"
"304","diether_dehm","jankortemdb","DIE LINKE","DIE LINKE"
"305","diether_dehm","victorperli","DIE LINKE","DIE LINKE"
"306","diether_dehm","danielakolbe","DIE LINKE","SPD"
"307","diether_dehm","stephankuehn","DIE LINKE","DIE GRÜNEN"
"308","diether_dehm","peteraltmaier","DIE LINKE","CDU"
"309","diether_dehm","berlinliebich","DIE LINKE","DIE LINKE"
"310","diether_dehm","sigmargabriel","DIE LINKE","SPD"
"311","diether_dehm","b_riexinger","DIE LINKE","DIE LINKE"
"312","diether_dehm","tpflueger","DIE LINKE","DIE LINKE"
"313","diether_dehm","f_schaeffler","DIE LINKE","FDP"
"314","diether_dehm","katjakipping","DIE LINKE","DIE LINKE"
"315","diether_dehm","ch_buchholz","DIE LINKE","DIE LINKE"
"316","diether_dehm","ernst_klaus","DIE LINKE","DIE LINKE"
"317","diether_dehm","voglerk","DIE LINKE","DIE LINKE"
"318","josteiniger","starkwatzinger","CDU","FDP"
"319","josteiniger","christianduerr","CDU","FDP"
"320","josteiniger","josefoster","CDU","CDU"
"321","josteiniger","c_bernstiel","CDU","CDU"
"322","josteiniger","katrin_staffler","CDU","CSU"
"323","josteiniger","matthiaszimmer","CDU","CDU"
"324","josteiniger","katarinabarley","CDU","SPD"
"325","josteiniger","meister_schafft","CDU","CDU"
"326","josteiniger","hahnflo","CDU","CSU"
"327","josteiniger","tobiaslindner","CDU","DIE GRÜNEN"
"328","josteiniger","monikalazar","CDU","DIE GRÜNEN"
"329","josteiniger","wanderwitz","CDU","CDU"
"330","josteiniger","rbrinkhaus","CDU","CDU"
"331","josteiniger","jimmyschulz","CDU","FDP"
"332","josteiniger","sigmargabriel","CDU","SPD"
"333","josteiniger","johannesvogel","CDU","FDP"
"334","josteiniger","tj_tweets","CDU","CDU"
"335","josteiniger","petertauber","CDU","CDU"
"336","josteiniger","peteraltmaier","CDU","CDU"
"337","josteiniger","c_lindner","CDU","FDP"
"338","josteiniger","thomasgebhart","CDU","CDU"
"339","josteiniger","groehe","CDU","CDU"
"340","drlaunert","kaiwegner","CSU","CDU"
"341","drlaunert","stadler_svenja","CSU","SPD"
"342","drlaunert","matthiaszimmer","CSU","CDU"
"343","drlaunert","gero_storjohann","CSU","CDU"
"344","drlaunert","juergenhardt","CSU","CDU"
"345","drlaunert","thomasgebhart","CSU","CDU"
"346","drlaunert","meister_schafft","CSU","CDU"
"347","drlaunert","c_lindner","CSU","FDP"
"348","drlaunert","tj_tweets","CSU","CDU"
"349","drlaunert","petertauber","CSU","CDU"
"350","drlaunert","rbrinkhaus","CSU","CDU"
"351","drlaunert","wanderwitz","CSU","CDU"
"352","drlaunert","anjaweisgerber","CSU","CSU"
"353","drlaunert","groehe","CSU","CDU"
"354","drlaunert","smuellermdb","CSU","CSU"
"355","drlaunert","hahnflo","CSU","CSU"
"356","drlaunert","peteraltmaier","CSU","CDU"
"357","peteraltmaier","cem_oezdemir","CDU","DIE GRÜNEN"
"358","peteraltmaier","katarinabarley","CDU","SPD"
"359","peteraltmaier","c_bernstiel","CDU","CDU"
"360","peteraltmaier","groehe","CDU","CDU"
"361","peteraltmaier","kahrs","CDU","SPD"
"362","peteraltmaier","sigmargabriel","CDU","SPD"
"363","peteraltmaier","ebner_sha","CDU","DIE GRÜNEN"
"364","peteraltmaier","nouripour","CDU","DIE GRÜNEN"
"365","peteraltmaier","tobiaslindner","CDU","DIE GRÜNEN"
"366","peteraltmaier","schneidercar","CDU","SPD"
"367","peteraltmaier","larsklingbeil","CDU","SPD"
"368","peteraltmaier","c_lindner","CDU","FDP"
"369","peteraltmaier","f_schaeffler","CDU","FDP"
"370","peteraltmaier","meister_schafft","CDU","CDU"
"371","peteraltmaier","sven_kindler","CDU","DIE GRÜNEN"
"372","peteraltmaier","jimmyschulz","CDU","FDP"
"373","peteraltmaier","rbrinkhaus","CDU","CDU"
"374","peteraltmaier","smuellermdb","CDU","CSU"
"375","peteraltmaier","hubertus_heil","CDU","SPD"
"376","peteraltmaier","juergenhardt","CDU","CDU"
"377","peteraltmaier","johannesvogel","CDU","FDP"
"378","peteraltmaier","tj_tweets","CDU","CDU"
"379","peteraltmaier","petertauber","CDU","CDU"
"380","jowadephul","agnieszka_mdb","CDU","DIE GRÜNEN"
"381","jowadephul","fbrantner","CDU","DIE GRÜNEN"
"382","jowadephul","dr_tiemann","CDU","CDU"
"383","jowadephul","katrin_staffler","CDU","CSU"
"384","jowadephul","b_riexinger","CDU","DIE LINKE"
"385","jowadephul","monikalazar","CDU","DIE GRÜNEN"
"386","jowadephul","cem_oezdemir","CDU","DIE GRÜNEN"
"387","jowadephul","lisapaus","CDU","DIE GRÜNEN"
"388","jowadephul","matthiaszimmer","CDU","CDU"
"389","jowadephul","nouripour","CDU","DIE GRÜNEN"
"390","jowadephul","gero_storjohann","CDU","CDU"
"391","jowadephul","kahrs","CDU","SPD"
"392","jowadephul","larsklingbeil","CDU","SPD"
"393","jowadephul","berlinliebich","CDU","DIE LINKE"
"394","jowadephul","wanderwitz","CDU","CDU"
"395","jowadephul","hahnflo","CDU","CSU"
"396","jowadephul","tobiaslindner","CDU","DIE GRÜNEN"
"397","jowadephul","thomasgebhart","CDU","CDU"
"398","jowadephul","kaiwegner","CDU","CDU"
"399","jowadephul","rbrinkhaus","CDU","CDU"
"400","jowadephul","schneidercar","CDU","SPD"
"401","jowadephul","solms","CDU","FDP"
"402","jowadephul","hubertus_heil","CDU","SPD"
"403","jowadephul","tj_tweets","CDU","CDU"
"404","jowadephul","groehe","CDU","CDU"
"405","jowadephul","katjakipping","CDU","DIE LINKE"
"406","jowadephul","peteraltmaier","CDU","CDU"
"407","jowadephul","c_lindner","CDU","FDP"
"408","jowadephul","sigmargabriel","CDU","SPD"
"409","jowadephul","johannesvogel","CDU","FDP"
"410","jowadephul","oezoguz","CDU","SPD"
"411","jowadephul","juergenhardt","CDU","CDU"
"412","jowadephul","smuellermdb","CDU","CSU"
"413","jowadephul","meister_schafft","CDU","CDU"
"414","jowadephul","petertauber","CDU","CDU"
"415","konstantinnotz","crueffer","DIE GRÜNEN","DIE GRÜNEN"
"416","konstantinnotz","stephankuehn","DIE GRÜNEN","DIE GRÜNEN"
"417","konstantinnotz","rbrinkhaus","DIE GRÜNEN","CDU"
"418","konstantinnotz","katjakipping","DIE GRÜNEN","DIE LINKE"
"419","konstantinnotz","katarinabarley","DIE GRÜNEN","SPD"
"420","konstantinnotz","fritzfelgentreu","DIE GRÜNEN","SPD"
"421","konstantinnotz","bstrasser","DIE GRÜNEN","FDP"
"422","konstantinnotz","th_sattelberger","DIE GRÜNEN","FDP"
"423","konstantinnotz","nicolabeerfdp","DIE GRÜNEN","FDP"
"424","konstantinnotz","badulrichmartha","DIE GRÜNEN","DIE GRÜNEN"
