"","twitter_name","party","personal.first_name","personal.last_name"
"350",NA,"SPD","Gabriela","Heinrich"
"351","markhauptmann","CDU","Mark","Hauptmann"
"352","matthiashauer","CDU","Matthias","Hauer"
"353","brihasselmann","DIE GRÜNEN","Britta","Haßelmann"
"354","sebast_hartmann","SPD","Sebastian","Hartmann"
"355","metinhakverdi","SPD","Metin","Hakverdi"
"356",NA,"DIE LINKE","André","Hahn"
"357","hahnflo","CSU","Florian","Hahn"
"358","hajdukbundestag","DIE GRÜNEN","Anja","Hajduk"
"359","ritahaglkehl","SPD","Rita","Hagl-Kehl"
"360",NA,"CDU","Christian","Haase"
"361",NA,"SPD","Bettina","Hagedorn"
"362",NA,"DIE LINKE","Gregor","Gysi"
"363",NA,"CDU","Fritz","Güntzler"
"364",NA,"CDU","Olav","Gutting"
"365",NA,"CDU","Astrid","Grotelüschen"
"366","uligroetsch","SPD","Uli","Grötsch"
"367",NA,"CDU","Markus","Grübel"
"368","manfred_grund","CDU","Manfred","Grund"
"369",NA,"CDU","Oliver","Grundmann"
"370",NA,"CDU","Monika","Grütters"
"371","michaelgrossmdb","SPD","Michael","Groß"
"372","kerstingriese","SPD","Kerstin","Griese"
"373","nicolegohlke","DIE LINKE","Nicole","Gohlke"
"374",NA,"SPD","Martin","Gerster"
"375",NA,"CDU","Eberhard","Gienger"
"376","kaigehring","DIE GRÜNEN","Kai","Gehring"
"377",NA,"SPD","Michael","Gerdes"
"378",NA,"CDU","Alois","Gerig"
"379","sigmargabriel","SPD","Sigmar","Gabriel"
"380",NA,"CDU","Ingo","Gädechens"
"381","matthiasgastel","DIE GRÜNEN","Matthias","Gastel"
"382","thomasgebhart","CDU","Thomas","Gebhart"
"383","hpfriedrichcsu","CSU","Hans-Peter","Friedrich"
"384","michaelfrieser","CSU","Michael","Frieser"
"385",NA,"SPD","Dagmar","Freitag"
"386","frankeedgar","SPD","Edgar","Franke"
"387",NA,"SPD","Ulrich","Freese"
"388",NA,"CDU","Thorsten","Frei"
"389",NA,"CDU","Maria","Flachsbarth"
"390","ernst_klaus","DIE LINKE","Klaus","Ernst"
"391","eskensaskia","SPD","Saskia","Esken"
"392",NA,"CDU","Hermann","Färber"
"393",NA,"SPD","Johannes","Fechner"
"394",NA,"CDU","Uwe","Feiler"
"395","fritzfelgentreu","SPD","Fritz","Felgentreu"
"396",NA,"CDU","Enak","Ferlemann"
"397",NA,"CDU","Michael","Donth"
"398","katjadoerner","DIE GRÜNEN","Katja","Dörner"
"399",NA,"CDU","Marie-Luise","Dött"
"400","katdro","DIE GRÜNEN","Katharina","Dröge"
"401","hansjoerg_durz","CSU","Hansjörg","Durz"
